frames_ids,AU1,AU2,AU4,AU6,AU12,AU15,AU20,AU25,EXPR,valence,arousal
1,0,1,0,0,0,0,0,0,0,-0.10693840598871347,-0.2075034076911643
2,0,0,0,0,0,0,0,0,0,-0.12837270178256172,-0.18766267972884973
3,0,0,0,0,0,0,0,0,0,-0.08648378243302246,-0.1963946477871536
4,0,0,0,0,0,0,0,0,0,-0.14243372939419816,-0.17114712995642462
5,0,1,0,0,0,0,0,0,0,-0.09892348582262031,-0.21047108049970123
6,0,1,0,0,0,0,0,0,0,-0.09919627595196581,-0.2436000439154573
7,0,1,0,0,0,0,0,0,0,-0.0860679249331282,-0.2828883231421443
8,0,0,0,0,0,0,0,0,0,-0.07859600917129832,-0.2691697937644725
9,0,0,0,0,0,0,0,0,0,-0.056651129777923186,-0.2581853984524251
10,0,0,0,0,0,0,0,0,0,-0.06499162717648836,-0.29780716289717113
11,0,0,0,0,0,0,0,0,0,-0.017537067592217598,-0.1878576304175352
12,0,0,0,0,0,0,0,0,0,-0.02889681587341908,-0.19176428180645946
13,0,0,0,0,0,0,0,0,0,0.007910911047426729,-0.1842061525605555
14,0,0,0,0,0,0,0,0,0,-0.0028992217083119026,-0.25905397696394517
15,0,0,0,0,0,0,0,0,0,0.07620680392995521,-0.18814855120466462
16,0,0,0,0,0,0,0,0,0,-0.0228525197966711,-0.18346487827243682
17,0,0,0,0,0,0,0,0,0,-0.024327510833054043,-0.18092065718098502
18,0,0,0,0,0,0,0,0,0,-0.00911108505801842,-0.2070963312442856
19,0,0,0,0,0,0,0,0,0,0.014111805900220556,-0.20987259415223414
20,0,0,0,0,0,0,0,0,0,0.02459713829203356,-0.22085947934293043
21,0,0,0,0,0,0,0,0,0,-0.08748725071353353,-0.17798393708041044
22,0,0,0,0,0,0,0,0,0,-0.07824172307185735,-0.1827890966884106
23,0,0,0,0,0,0,0,0,0,-0.09743802150172234,-0.22089414043033398
24,0,0,0,0,0,0,0,0,0,-0.09356805244552613,-0.21063543877588883
25,0,0,0,0,0,0,0,0,0,-0.09660221113345442,-0.22890477826034558
26,0,0,0,0,0,0,0,0,0,-0.06672959003634264,-0.2046931620356382
27,0,0,0,0,0,0,0,0,0,-0.040610498347393234,-0.1771134690344824
28,0,0,0,0,0,0,0,0,0,-0.02671521874512306,-0.17682306356973165
29,0,0,0,0,0,0,0,0,0,-0.027007080332719237,-0.17438856920374465
30,0,0,0,0,0,0,0,0,0,-0.07043717540555491,-0.18409428964859176
31,0,1,0,0,0,0,0,0,0,-0.05776345741775775,-0.1020152610726655
32,0,1,0,0,0,0,0,0,0,-0.07300719855304225,-0.16498805042723882
33,0,0,0,0,0,0,0,0,0,-0.04911228992032678,-0.15638890809771658
34,0,0,0,0,0,0,0,0,0,-0.07516761805163699,-0.18359887794787558
35,0,0,0,0,0,0,0,0,0,-0.06882895524674834,-0.19889721043996125
36,0,0,0,0,0,0,0,0,0,-0.06395761965234818,-0.19826089783792242
37,0,0,0,0,0,0,0,0,0,-0.050730993468804615,-0.1845861560248427
38,0,0,0,0,0,0,0,0,0,-0.04372274293564262,-0.16670893724566624
39,0,0,0,0,0,0,0,0,0,-0.0756302768652524,-0.18770113176249562
40,0,0,0,0,0,0,0,0,0,-0.08102671103245634,-0.19474531948492918
41,0,0,0,0,0,0,0,0,0,-0.07162668596107616,-0.18730455922502046
42,0,0,0,0,0,0,0,0,0,-0.08838887489707165,-0.19095127277940172
43,0,0,0,0,0,0,0,0,0,-0.09446839779296799,-0.1973318755105874
44,0,0,0,0,0,0,0,0,0,-0.0863922141495431,-0.1901440202368816
45,0,0,0,0,0,0,0,0,0,-0.07777031975810567,-0.19084021768312118
46,0,0,0,0,0,0,0,0,0,-0.060690747028657926,-0.19132811298569374
47,0,0,0,0,0,0,0,0,0,-0.05932076559647137,-0.1812198770747177
48,0,0,0,0,0,0,0,0,0,-0.08184359890047317,-0.18855474376438291
49,0,0,0,0,0,0,0,0,0,-0.07595340304818059,-0.18453579316969576
50,0,0,0,0,0,0,0,0,0,-0.07665574248255186,-0.19814312560973987
51,0,0,0,0,0,0,0,0,0,-0.05851518871618049,-0.19721534209767064
