frames_ids,AU1,AU2,AU4,AU6,AU12,AU15,AU20,AU25,EXPR,valence,arousal
1,0,1,0,1,1,0,0,1,4,0.1159717535269201,0.22595086441326295
2,0,1,0,1,1,0,0,1,4,0.08774713345950365,0.1825423653874742
3,0,1,0,0,1,0,0,0,4,0.06365776693718014,0.09364596777595573
4,0,1,0,0,1,0,0,0,4,-0.006379350290731823,0.06381612590906256
5,0,0,0,0,1,0,0,0,4,0.08451545179674495,0.07142945979476756
6,0,1,0,0,1,0,0,0,4,0.13432086586314984,0.0926138604010798
7,0,1,0,0,1,0,0,0,4,0.14104348862249594,0.07641690055300526
8,0,1,0,0,1,0,0,0,4,0.1405010132707263,0.0545128526313132
9,0,1,0,0,1,0,0,0,4,0.12865670362340378,0.06824394168430249
10,0,1,0,0,1,0,0,0,4,0.1357228119465473,0.08122406038455661
11,0,1,1,0,1,0,0,0,4,0.05981076712180906,0.26751148763210747
12,0,1,1,0,1,0,0,1,4,-0.08757199747732994,0.269537773105855
13,0,1,1,0,1,0,0,0,4,-0.04387987163040398,0.013228929552592686
14,0,1,0,0,1,0,0,0,4,-0.09486447869015763,-0.08685816068349311
15,0,1,1,0,1,0,0,0,4,-0.33503868481095295,-0.16799456460131829
16,0,0,1,0,0,0,0,0,5,-0.518481168028972,-0.17796720101767666
17,0,0,1,0,0,0,0,0,5,-0.5225317637270659,-0.17516411252711958
18,0,0,1,0,0,0,0,0,5,-0.5247259576112572,-0.15227142404029637
19,0,0,1,0,0,0,0,0,5,-0.5350673249738879,-0.16416797538189906
20,0,0,1,0,0,0,0,0,5,-0.539967941000788,-0.1373865896909449
21,0,1,1,0,0,0,1,0,5,-0.4448439605184831,-0.020635033234659834
22,0,1,1,0,0,0,1,0,5,-0.4411533331532203,-0.006514031360367064
23,0,1,1,0,0,0,1,0,5,-0.4811513676418384,0.06349790481066228
24,0,0,1,0,0,0,1,0,5,-0.36184578361050956,-0.0017148122362988898
25,0,0,1,0,0,0,0,1,5,-0.3878229704952039,0.1274810366265132
26,0,0,0,0,0,0,0,1,5,-0.4724348687909936,-0.008390576419371574
27,0,0,1,0,0,0,0,1,5,-0.48658351883549544,-0.005355797597746362
28,0,0,1,0,0,0,0,1,5,-0.47007712997851503,-0.0363434426253662
29,0,0,1,0,0,0,0,1,5,-0.47002393574803136,-0.030238352161464595
30,0,0,1,0,0,0,0,1,5,-0.4838552088507353,-0.017985216044747367
31,0,1,1,0,0,0,0,0,5,-0.4662796369252886,-0.12459084503107562
32,0,1,1,0,0,0,0,0,0,-0.22302534657922626,-0.19753692938492784
33,0,1,1,0,0,0,0,0,5,-0.27780059714936406,-0.10646303530206515
34,0,1,1,0,0,0,0,0,0,-0.24986333867816846,-0.0012006763687455787
35,0,1,1,0,0,0,0,0,1,-0.3907831534191868,0.01428368669248327
36,0,1,1,0,0,0,0,0,5,-0.34012211028694816,-0.08775802911871954
37,0,1,1,0,0,0,0,0,5,-0.3731905051873151,-0.31091439182943614
38,0,1,1,0,0,0,0,0,5,-0.36764297491294873,-0.30182307305451683
39,0,1,1,0,0,0,0,0,5,-0.3673457873971386,-0.2973221500869841
40,0,1,1,0,0,0,0,0,5,-0.36633346766297786,-0.298593548892409
41,0,1,1,0,0,0,0,0,5,-0.43633868828137085,-0.35023287264630204
42,0,1,1,0,0,0,0,0,1,-0.4084895639910093,-0.2609786749817431
43,0,1,1,0,0,0,0,0,1,-0.37790670480248273,-0.2980949400777095
44,0,1,1,0,0,0,0,0,1,-0.3734353167314304,-0.3161758090075302
45,0,1,1,0,0,0,0,0,1,-0.3775774953736753,-0.30204744405407263
46,0,1,1,0,0,0,0,0,1,-0.3775774953736753,-0.30204744405407263
47,0,1,1,0,0,0,0,0,1,-0.3775774953736753,-0.30204744405407263
48,0,1,1,0,0,0,0,0,1,-0.3775774953736753,-0.30204744405407263
49,0,1,1,0,0,0,0,0,1,-0.3630310936040539,-0.18573098499818072
50,0,1,1,0,0,0,0,0,1,-0.37409377894915735,-0.18204986576088958
51,0,1,1,0,0,0,0,0,5,-0.41161937250657693,-0.4022181809781806
52,0,1,1,0,0,0,0,0,5,-0.4236920444795702,-0.3900133485930335
53,0,1,1,0,0,0,0,0,5,-0.3242394745037402,-0.07440690752609
54,0,1,1,0,0,0,0,0,5,-0.3228755868208521,-0.08797753059403292
55,0,1,1,0,0,0,0,0,5,-0.3050879410048335,-0.1434472639505801
