frames_ids,AU1,AU2,AU4,AU6,AU12,AU15,AU20,AU25,EXPR,valence,arousal
1,1,1,0,0,0,0,0,1,6,-0.06791594635548172,0.11446108096156656
2,1,1,0,0,0,0,0,1,6,-0.1635106084500685,0.24683031810472073
3,0,1,0,0,0,0,0,1,6,-0.16976787254679954,0.23266948819601604
4,0,0,0,0,0,0,0,1,6,-0.21862085441764645,0.23373102413882543
5,0,0,0,0,0,0,0,1,6,-0.07150592066433382,0.18633896117343707
6,0,0,0,0,0,0,1,0,0,0.05391964252646026,0.1545578754188394
7,0,0,1,0,0,0,0,0,4,0.13778513672418496,0.327257804468421
8,0,0,0,1,0,0,1,1,4,0.07104602266152041,0.20846225389916642
9,0,0,1,1,0,0,1,1,4,0.2813722171581742,0.4099760897408582
10,0,0,0,1,0,0,1,1,4,0.18113645915505713,0.3531630979605803
11,0,0,0,1,0,0,0,1,4,0.23987018848205666,0.3912345149315353
12,0,1,0,1,0,0,1,1,4,0.18375530403327978,0.4144078938054582
13,0,0,0,1,0,0,1,1,4,0.12863632306260495,0.29106386725815303
14,0,0,0,1,0,0,1,1,4,0.07405544155718459,0.2425521858845298
15,0,0,0,1,0,0,1,1,0,0.0825932202125458,0.17488327392033837
16,0,0,0,0,0,0,0,1,0,0.0878263131323221,0.3136435796531212
17,0,0,0,1,0,0,1,1,4,0.1531774316865362,0.2689688868214081
18,0,0,0,0,0,0,0,0,0,0.161792381985211,0.18561363004540138
19,0,0,0,0,0,0,0,0,0,-0.05160788993204113,0.22110408664325637
20,0,0,0,0,0,0,0,0,1,0.03856483930231705,0.34259959576823007
21,1,1,0,0,0,0,1,1,0,-0.09056924709952195,0.41209084465854645
22,1,1,0,0,0,0,0,0,0,-0.13310087317796915,0.3410684427546681
23,0,0,0,0,0,0,0,0,0,-0.20388284585389657,0.33068412196160724
24,0,0,0,0,0,0,0,0,1,-0.1249551912892218,0.3620861738546456
25,0,0,0,0,0,0,0,0,2,-0.03237422256681483,0.2888915929146797
26,0,0,0,0,0,0,0,0,0,-0.0522617778348688,0.27694639771269924
27,0,0,0,0,0,0,0,0,4,-0.0257472571377692,0.41865582087101705
28,0,0,1,0,0,0,0,0,1,-0.13512357412592366,0.47477545145911304
29,0,0,0,0,0,0,0,0,2,-0.0698846177639146,0.3019821620454374
30,0,0,0,0,0,0,0,0,5,-0.19016889594250216,0.34633007812877425
31,1,1,0,0,0,0,0,0,0,0.029174180921951353,0.24719358614253756
32,1,1,0,0,0,0,0,0,0,0.017029988934825074,0.3776648269574109
33,1,1,0,0,0,0,0,0,0,0.056659210718383854,0.3761634932873819
34,1,1,0,0,0,0,0,0,0,0.037479143418175556,0.4183132594733156
35,1,1,0,0,0,0,0,0,0,-0.02536383224651223,0.18933663900794553
36,1,1,0,0,0,0,0,0,0,0.0559093800226324,0.30275150975763887
37,1,1,0,0,0,0,0,1,0,0.08325436465001024,0.2770359890572236
38,0,1,0,0,0,0,0,0,0,0.05883945680321434,0.3188068887133052
39,1,1,0,0,0,0,0,0,0,0.06328181368543909,0.3939462498835239
40,1,1,0,0,0,0,0,0,0,0.04617970102270571,0.38434319987304894
41,0,0,1,0,0,0,0,0,0,0.06356541385972181,0.38592506493564305
42,0,0,0,0,0,0,0,0,0,0.07508842921570721,0.2695149634995399
43,0,0,0,0,0,0,1,1,0,0.07813793738176551,0.19455443572645117
44,0,0,1,0,0,0,1,1,0,0.07689993480514534,0.31606502912779283
45,0,0,1,0,0,0,0,0,0,-0.15758062033963052,0.2635382491923672
46,0,0,1,0,0,0,0,0,0,-0.02770303947066796,0.33240154722558424
