frames_ids,AU1,AU2,AU4,AU6,AU12,AU15,AU20,AU25,EXPR,valence,arousal
1,0,0,1,0,0,0,0,0,5,-0.230037846,-0.270050757
2,0,0,1,0,0,0,0,0,0,-0.238055327,-0.307245881
3,0,0,1,0,0,0,0,0,0,-0.230882419,-0.311911966
4,0,1,1,0,0,0,0,0,0,-0.226917638,-0.305056492
5,0,0,1,0,0,0,0,0,5,-0.266489418,-0.291712361
6,0,0,1,0,0,0,0,0,0,-0.216581622,-0.247515438
7,0,0,1,0,0,0,0,0,0,-0.228443339,-0.252864623
8,0,0,1,0,0,0,0,0,5,-0.266173563,-0.274657448
9,0,0,1,0,0,0,0,0,5,-0.275213433,-0.286512923
10,0,0,1,0,0,0,0,0,5,-0.280820856,-0.287400991
11,0,0,1,0,0,0,0,0,5,-0.266493036,-0.309956498
12,0,0,1,0,0,0,0,0,5,-0.263326971,-0.313541131
13,0,0,1,0,0,0,0,0,5,-0.2625059,-0.312568555
14,0,0,1,0,0,0,0,0,5,-0.258626215,-0.381727788
15,0,0,1,0,0,0,0,0,0,-0.223832543,-0.348466312
16,0,0,0,0,0,0,0,0,0,-0.024471781,-0.051047951
17,0,0,0,0,0,0,0,0,0,-0.038705619,-0.067040894
18,0,0,0,0,0,0,0,0,0,-0.017645946,-0.040453954
19,0,0,0,0,0,0,0,0,0,-0.008750981,-0.054493955
20,0,0,0,0,0,0,0,0,0,-0.002340333,-0.077999807
21,0,0,0,0,0,0,0,0,0,0.013721692,-0.159880398
22,0,0,0,0,0,0,0,0,0,0.004131148,-0.17232345
23,0,1,0,0,0,0,0,0,0,0.031182021,-0.149479468
24,0,1,0,0,0,0,0,0,0,0.015786745,-0.094478982
25,0,1,0,0,0,0,0,0,0,0.069092346,-0.098552593
26,0,1,0,0,0,0,0,0,0,-0.03309156,0.04356075
27,0,0,0,0,0,0,0,0,0,-0.029390072,0.071094178
28,0,0,0,0,0,0,0,0,0,0.011248355,0.065205668
29,0,0,0,0,0,0,0,0,0,-0.01798653,0.068282918
30,0,0,0,0,0,0,0,0,0,-0.003285137,0.004023425
31,0,0,0,0,0,0,0,0,0,-0.001373984,-0.027096266
32,0,0,0,0,0,0,0,0,0,-0.041476913,-0.088391455
33,0,0,0,0,0,0,0,0,0,-0.052171049,-0.072667595
34,0,0,0,0,0,0,0,0,0,-0.060058142,-0.098521587
35,0,0,0,0,0,0,0,0,0,-0.06700264,-0.15534719
36,0,0,0,0,0,0,0,0,0,-0.02807743,0.010273856
37,0,0,0,0,0,0,0,0,0,-0.029237661,-0.017608216
38,0,0,0,0,0,0,0,0,0,-0.038959692,-0.010432749
39,0,0,0,0,0,0,0,0,0,-0.021909897,-0.012488711
40,0,0,0,0,0,0,0,0,0,-0.031344902,-0.008947294
41,0,0,0,0,0,0,0,0,0,-0.015347158,0.007503275
42,0,1,0,0,0,0,0,0,0,-0.081049942,0.089525467
43,0,0,0,0,0,0,0,0,0,-0.074500352,0.068886618
44,0,0,0,0,0,0,0,0,0,-0.083050405,0.002883756
45,0,0,0,0,0,0,0,0,0,-0.100015078,-0.04703696
46,0,0,0,0,0,0,0,0,0,-0.049863507,-0.132844928
47,0,0,0,0,0,0,0,0,0,-0.068686185,-0.103253855
48,0,0,0,0,0,0,0,0,0,-0.054749629,-0.043104535
49,0,0,0,0,0,0,0,0,0,-0.090749346,-0.051668225
50,0,0,0,0,0,0,0,0,0,-0.059529636,-0.051948739
51,0,0,0,0,0,0,0,0,0,-0.023100698,0.008724595
52,0,0,0,0,0,0,0,0,0,-0.079170233,-0.038797905
53,0,0,0,0,0,0,0,0,0,-0.066893635,-0.058083402
54,0,0,0,0,0,0,0,0,0,-0.094873469,-0.045202464
55,0,0,0,0,0,0,0,0,0,-0.096364484,-0.056859589
56,0,0,0,0,0,0,0,0,0,0.026983895,0.061086784
57,0,0,0,0,0,0,0,0,0,0.003604424,0.067026739
58,0,1,1,0,0,0,0,0,0,-0.006592671,0.073966284
59,0,1,0,0,0,0,0,0,0,0.007822554,0.030275801
