frames_ids,AU1,AU2,AU4,AU6,AU12,AU15,AU20,AU25,EXPR,valence,arousal
1,0,0,0,1,0,0,1,0,4,0.308662277658617,0.4880503117578643
2,0,0,0,1,1,0,1,0,4,0.5088361286509193,0.5684583343222345
3,0,0,1,1,1,0,1,0,4,0.3925859543347828,0.5216769820973767
4,0,0,1,1,1,0,1,0,4,0.30161873492608327,0.486412408461451
5,0,0,1,1,0,0,1,0,4,-0.010017081941968192,0.5714916976805972
6,0,0,1,0,0,1,1,0,0,-0.0029786243103445548,0.47565802637683713
7,0,0,1,0,0,1,0,0,5,-0.10477040008347682,0.5190838101859154
8,0,0,1,0,0,1,0,0,4,-0.18226103636583227,0.47058782776768654
9,0,0,0,0,0,0,0,0,5,-0.5212522519347994,0.5374781009067143
10,0,0,0,0,0,0,0,0,4,-0.34651151198379115,0.5566450203523823
11,0,0,0,0,0,0,1,0,4,0.3712078096026456,0.4868745963812167
12,0,0,0,0,0,0,1,0,4,0.37457587754991106,0.47657754572451505
13,1,0,0,1,0,0,1,0,4,0.40328454712136197,0.5360287404956148
14,1,0,0,0,0,0,1,0,4,0.3673446400973357,0.48811870063103635
15,0,0,0,0,0,0,1,0,4,0.36045613839585133,0.43892750584391715
16,0,0,0,1,0,0,0,0,4,0.3053188298363237,0.36102507442333975
17,0,0,0,1,0,0,0,0,0,0.26249282815076985,0.43456532967301376
18,0,0,0,0,0,0,0,0,0,0.16587928459538437,0.42422191686866995
19,0,0,0,0,0,0,0,0,0,0.1334787291278572,0.33388998174096307
20,0,0,0,0,0,0,0,0,0,0.1583173121570756,0.3618381377278924
21,0,0,0,0,0,0,1,0,0,0.1460517487415161,0.30950620768003545
22,0,0,1,0,0,0,1,0,5,0.0986917659909905,0.31662108959924223
23,0,0,0,0,0,0,0,0,0,0.1809034439257198,0.20390130068469592
24,0,0,0,0,0,0,0,0,0,0.1228233773114257,0.14831778037018672
25,0,0,0,0,0,0,0,0,0,0.1299746178617504,0.136217893358614
26,0,0,1,0,0,0,0,0,0,0.0005866101832667728,0.13587700944442882
27,0,0,0,0,0,0,0,0,0,0.04017808675569918,0.0372383010536922
28,0,0,0,0,0,0,0,0,0,0.04616058269809731,0.01429101461422086
29,0,0,1,0,0,0,0,0,0,0.09761933123349746,0.0868877750318987
30,0,0,0,0,0,0,0,0,0,0.05234990614515381,0.08836081845832885
31,0,0,0,0,0,0,0,0,0,-0.006414841877382393,0.08400204937022761
32,0,0,0,0,0,0,0,0,0,0.016216209296161566,0.10163030753794465
33,0,0,1,0,0,0,0,0,0,-0.09763754186171456,0.14623078596042954
34,0,0,0,0,0,0,1,0,0,-0.059602270245944236,0.2982472634175792
35,0,0,0,0,0,0,0,0,0,0.04500479437410827,0.3407112215523069
36,0,0,1,0,0,0,0,0,0,-0.010308131207957124,0.20584149753037637
37,0,0,1,0,0,0,0,0,0,-0.15764396192849078,0.15523421324446401
38,0,0,0,0,0,0,0,0,0,0.02389086476576167,0.15491147118767618
39,0,0,0,0,0,0,0,0,0,0.0334067824756187,0.20291950783422702
40,0,0,0,0,0,0,0,0,0,0.07702195805215617,0.2502645292858544
41,0,0,0,0,0,0,0,0,0,0.16523143725383926,0.1537406103513938
42,0,0,1,0,0,0,0,0,0,0.03126904430284503,0.22027969484119422
43,0,0,0,0,0,0,0,0,0,0.09070284985079377,0.24138077072750183
44,0,0,0,0,0,0,0,0,0,0.13827756877167535,0.2770511482621689
45,0,0,0,0,0,0,0,0,0,0.12255561770871276,0.2323388619789559
46,0,0,0,0,0,0,0,0,0,0.12898689495264792,0.20978557073976836
47,0,0,1,0,0,0,0,0,0,0.10681156200467064,0.24305714562069616
48,0,0,0,0,0,0,0,0,0,0.09928191307392946,0.1976441132382636
49,0,0,0,0,0,0,1,0,0,0.15021898249764676,0.23597907609502336
50,0,0,0,0,0,0,0,0,0,0.15427467621109248,0.2442688803605146
51,0,0,0,0,0,0,0,0,0,0.12190661905180218,0.18429357646719396
52,1,1,0,0,0,0,0,0,0,0.10571620332561182,0.21463237786788095
53,1,1,0,0,0,0,0,0,0,0.10786493891378322,0.20548024152613875
54,1,1,0,0,0,0,0,0,0,0.10011322189759654,0.2288221408594644
55,1,0,0,0,0,0,0,0,0,0.08626215893615916,0.25521673491273655
56,1,0,0,0,0,0,0,0,0,0.05335096654629233,0.2297777138944518
57,1,0,0,0,0,0,0,0,0,0.07372849246511524,0.25513764523508903
58,0,0,0,0,0,0,0,0,0,-0.002702015439832721,0.16685068085299504
59,1,0,0,0,0,0,0,0,0,0.06351587450511652,0.19195984090727405
60,1,0,0,0,0,0,0,0,0,0.032416364809155024,0.22076366684938725
61,0,0,0,0,0,0,0,0,0,-0.04607198590804876,0.00016353521986221808
62,0,0,0,0,0,0,0,0,0,-0.0035547443273428684,0.009971753890184913
63,0,0,0,0,0,0,0,0,0,-0.012147620381591399,-0.03774831722196394
64,0,0,0,0,0,0,0,0,0,-0.011280341220921641,-0.05749766496745385
65,0,0,0,0,0,0,0,0,0,-0.02009099856092551,-0.07804559024148872
66,0,0,0,0,0,0,0,0,0,-0.07831094089258268,-0.0346665087793219
67,0,0,0,0,0,0,0,0,0,-0.05467668950165578,-0.038384923368300294
68,0,0,0,0,0,0,0,0,0,-0.06452591610631274,-0.07280445739773939
69,0,0,0,0,0,0,0,0,0,-0.057624786749090065,-0.014734400803909555
70,0,0,0,0,0,0,0,0,0,-0.04662587721587018,-0.03612541550721389
71,1,0,0,0,0,0,1,0,0,0.08599771804170138,0.15940154817776359
72,0,0,0,0,0,0,0,0,0,0.0038787458355440166,0.09822956031482466
73,0,0,0,0,0,0,1,0,0,0.020998547928971448,0.17986120190471405
74,0,0,0,0,0,0,1,0,0,0.03532279657175467,0.17477630877769296
