frames_ids,AU1,AU2,AU4,AU6,AU12,AU15,AU20,AU25,EXPR,valence,arousal
1,1,1,1,0,0,0,0,0,5,0.11822182493970579,0.5429830260875047
2,1,1,0,0,0,0,0,1,5,0.484623256531593,0.5534375211052401
3,1,1,0,0,0,0,0,0,5,0.13202093178896523,0.3911774282123109
4,1,1,0,0,0,0,0,0,5,-0.019435974034039613,0.3040054023731499
5,1,1,0,0,0,0,0,0,5,-0.025940469368115893,0.2876171957621791
6,1,1,0,0,0,0,0,0,5,-0.1736690179003697,0.29524583079067884
7,1,1,0,0,0,0,0,0,5,-0.3039621897531967,0.41289063310863344
8,1,1,0,0,0,0,0,0,5,-0.2249044213247927,0.253453140484022
9,1,1,0,0,0,0,0,0,5,-0.13230565543237488,0.3287976857544363
10,1,1,0,0,0,0,0,0,5,-0.052667556992290886,0.3910110586531166
11,0,1,0,0,0,0,0,0,5,0.05124046834871954,0.4611283755236255
12,0,1,0,0,0,0,0,1,5,0.10355637908766141,0.4545950941330949
13,0,1,0,0,0,0,0,1,5,-0.02026608596114738,0.4576079183944354
14,0,1,0,0,0,0,0,1,5,-0.07510712723198691,0.4331999809916228
15,0,1,0,0,0,0,0,1,5,0.009636317649366007,0.38883773563123347
16,0,1,0,0,0,0,0,1,5,-0.018912562463236512,0.4489202508427153
17,1,1,0,0,0,0,0,1,5,-0.15119107547951377,0.4831294401251638
18,1,1,0,0,0,0,0,1,5,-0.10198617265804821,0.4816299796358707
19,1,1,1,0,0,0,0,1,5,-0.2979303235923381,0.5200117204206579
20,1,0,1,0,0,0,0,1,5,-0.3097382098632423,0.47721048148875855
21,1,1,0,0,0,0,0,1,5,0.14562333419330808,0.49805102785773514
22,1,1,0,0,0,0,0,1,5,0.04521976176061125,0.4880216512492074
23,1,1,0,0,0,0,0,1,5,0.147907688576532,0.48315317089068943
24,1,1,0,0,0,0,0,1,5,-0.06924748028579515,0.37037970978570606
25,1,1,1,0,0,0,0,1,5,0.1304660696585319,0.4071754182345772
26,1,1,1,0,0,0,0,1,5,-0.09801101471346464,0.3824141318082661
27,1,1,0,0,0,0,0,0,5,-0.31178112329277946,0.18385138512147878
28,1,1,0,0,0,0,0,0,5,-0.2817300650119586,0.07581500692513621
29,1,1,0,0,0,0,0,1,5,-0.13749477680233363,0.28496857213567156
30,1,1,0,0,0,0,0,1,5,-0.18490813648034088,0.3540637868603593
31,1,1,1,1,0,0,0,1,5,-0.006690969225019244,0.4165544907537925
32,1,1,0,1,0,0,0,1,5,0.15423664852584656,0.3952494183690041
33,0,1,0,0,0,0,0,1,0,0.06601188351449211,0.2730118993724892
34,1,1,0,0,0,0,0,1,5,-0.22279694519851262,-0.11205486475955702
35,0,0,0,0,0,0,0,0,0,-0.07765088930088834,0.014936344581656083
36,0,1,0,0,0,0,0,0,0,0.09452981461378693,-0.029506189292174287
37,0,1,0,0,0,0,1,0,0,0.139709850307554,-0.10566209319452026
38,0,1,0,0,0,0,1,0,0,0.10314171203706216,-0.08364791301152626
39,0,1,0,0,0,0,1,0,0,0.013597158267848956,-0.04414594341620906
40,0,1,0,0,0,0,0,0,0,-0.10061843520471536,-0.0436709530216544
41,0,1,0,0,0,0,0,0,0,-0.12395735432418364,-0.12038589497924003
42,0,1,0,0,0,0,0,0,0,-0.1682554738148802,-0.08482943298785313
43,0,1,0,0,0,0,0,0,0,-0.21586306050946746,-0.049401819175967115
44,0,1,0,0,0,0,0,1,0,-0.19448445078696278,-0.06361655526377855
45,0,1,0,0,0,0,0,0,0,-0.1828994868556038,-0.09154798972763517
46,0,1,0,0,0,0,0,0,0,-0.16684169071040267,-0.003506137572817157
47,0,1,0,0,0,0,0,0,0,-0.16389849181838437,-0.0788330335758235
