frames_ids,AU1,AU2,AU4,AU6,AU12,AU15,AU20,AU25,EXPR,valence,arousal
1,0,1,1,0,0,0,0,0,5,-0.286577715,0.192052308
2,0,0,0,0,0,0,0,1,5,-0.254393048,0.191302258
3,0,0,1,1,0,0,0,1,0,-0.161511769,0.195774187
4,0,0,1,1,0,0,0,1,0,-0.195410261,0.193841469
5,0,0,1,0,0,0,0,1,5,-0.321651784,0.170937363
6,0,0,1,0,0,0,0,0,5,-0.368205584,0.268002944
7,0,0,1,0,0,0,0,0,5,-0.320700476,0.197365652
8,0,0,0,0,0,0,0,1,2,-0.367233634,0.112149924
9,0,0,0,0,0,0,0,1,2,-0.424747268,0.273749208
10,0,0,1,0,0,0,0,1,5,-0.43015586,0.201484928
11,0,0,1,1,0,0,1,0,0,-0.283123616,0.246488016
12,0,0,0,0,0,0,0,0,5,-0.190159478,0.289635675
13,0,0,1,0,0,0,0,0,0,-0.412246227,0.259203726
14,1,0,0,0,0,0,0,0,0,-0.397232259,0.366621908
15,0,0,0,0,0,0,0,0,0,-0.342373174,0.416792775
16,0,0,0,0,0,0,1,0,5,-0.457718322,0.175327707
17,0,0,0,0,0,0,0,0,0,-0.319015407,0.302530504
18,0,0,0,0,0,0,0,0,0,-0.404940858,0.218778222
19,0,0,0,0,0,0,0,0,0,-0.413878666,0.570261323
20,1,0,0,0,0,0,0,0,6,-0.564798557,0.548555541
21,0,1,0,0,0,0,0,0,0,-0.173589785,0.019874488
22,0,0,0,0,0,0,0,0,0,-0.247493212,-0.006152309
23,0,1,0,0,0,0,0,0,5,-0.326721162,-0.073815315
24,0,1,1,0,0,0,0,0,5,-0.300213763,0.049628309
25,0,1,1,0,0,0,0,1,0,-0.221034665,0.03975783
26,0,0,1,0,0,0,0,0,5,-0.287573233,-0.15774937
27,1,0,1,0,0,0,0,1,5,-0.264887522,0.063418367
28,1,0,1,0,0,0,0,1,2,-0.317113363,0.152741512
29,1,0,0,0,0,0,0,1,2,-0.241104313,0.125384851
30,1,1,1,0,0,0,0,1,2,-0.238032109,0.113524688
31,0,0,0,0,0,0,0,0,0,-0.240698322,0.104847246
32,0,0,0,0,0,0,0,1,0,-0.215500992,0.221880457
33,0,0,0,0,0,0,0,0,0,-0.330366611,0.016971113
34,0,0,0,0,0,0,0,0,0,-0.120938658,0.208744368
35,0,0,1,0,0,0,0,0,0,-0.278279079,0.336139458
36,0,0,0,0,0,0,0,0,6,-0.600502044,0.208349412
37,0,0,0,0,0,0,0,0,6,-0.551116057,0.127938456
38,1,0,0,0,0,0,0,0,6,-0.637709366,0.127149846
39,1,1,0,0,0,0,0,0,0,-0.321892195,0.318417603
40,0,0,0,0,0,0,0,0,0,-0.237093787,0.339265333
41,1,0,1,0,0,0,0,0,0,-0.269740591,0.100734947
42,0,1,0,0,0,0,0,0,0,-0.220785413,0.011889862
43,0,1,0,0,0,0,0,0,0,-0.226881247,0.03081576
44,0,1,0,0,0,0,0,1,0,-0.218466621,0.003092119
45,0,1,0,0,0,0,0,1,0,-0.195822424,-0.088467386
46,0,1,0,0,0,0,0,0,5,-0.199836746,-0.094145479
47,0,0,0,0,0,0,0,0,5,-0.192811908,-0.067985251
48,0,1,0,0,0,0,0,1,0,-0.18041448,-0.057069697
49,0,0,0,0,0,0,0,1,5,-0.181663003,-0.072702505
50,0,1,0,0,0,0,0,1,0,-0.226568564,-0.032700705
51,1,0,1,0,0,0,0,0,0,-0.186511,0.165459716
52,0,0,0,0,0,0,0,0,0,-0.324592664,0.225550568
53,0,0,0,0,0,0,0,0,0,-0.308724571,0.239194262
54,0,0,0,0,0,0,0,0,0,-0.298922951,0.362896835
55,0,0,0,0,0,0,0,0,5,-0.40167837,0.27673597
56,0,0,0,0,0,0,0,0,0,-0.358423135,0.29933567
57,0,0,0,0,0,0,0,0,0,-0.504815576,0.296035426
58,0,0,0,0,0,0,0,0,6,-0.436387352,0.367396189
59,0,0,0,0,0,0,0,0,0,-0.470436278,0.189212388
60,1,0,0,0,0,0,0,0,5,-0.530341577,0.346101897
61,0,0,1,0,0,0,0,1,5,-0.29199109,0.077958017
62,0,0,0,0,0,0,0,1,0,-0.173030512,0.123133653
63,0,0,0,0,0,0,0,1,0,-0.217270465,0.047610242
64,0,0,0,0,0,0,0,0,0,-0.373274126,0.126414701
65,0,0,0,0,0,0,0,0,0,-0.318294554,0.068167009
66,0,0,0,0,0,0,0,0,5,-0.213817289,0.116720839
67,0,0,0,0,0,0,0,0,0,-0.277511456,0.068030483
68,0,0,0,0,0,0,0,0,0,-0.347506302,0.088380693
69,0,0,0,0,0,0,0,0,0,-0.411912733,0.109008207
70,0,0,0,0,0,0,0,0,0,-0.363910566,0.110107865
71,0,0,1,0,0,0,0,1,0,-0.265666585,0.011593359
72,0,0,0,0,0,0,0,1,5,-0.282668701,-0.040137449
73,0,0,0,0,0,0,0,1,5,-0.283107055,-0.085414133
74,0,0,0,0,0,0,0,1,5,-0.255635008,-0.027937158
75,0,0,0,0,0,0,0,1,5,-0.28705228,0.050313044
76,0,0,0,0,0,0,0,1,5,-0.275434446,0.016733812
77,0,0,0,0,0,0,0,1,5,-0.254592259,0.074004867
