frames_ids,AU1,AU2,AU4,AU6,AU12,AU15,AU20,AU25,EXPR,valence,arousal
1,0,0,0,0,0,0,0,1,0,-0.07418111660961972,-0.1920212110041911
2,0,0,0,0,0,0,0,0,0,-0.05897294779271382,-0.20042797569553128
3,0,0,1,0,0,0,0,0,0,-0.11983903083570405,-0.15174309547843515
4,0,0,1,0,0,0,0,0,0,-0.09536891402431621,-0.19066252359679264
5,0,0,0,0,0,0,0,0,0,-0.052986999569264726,-0.1782676934411652
6,0,0,0,0,0,0,0,0,0,-0.0016025366433161416,-0.26468552940672174
7,0,0,0,0,0,0,0,0,0,-0.0964559587974739,-0.24185936679101652
8,0,0,0,0,0,0,0,0,0,-0.11126905282971601,-0.2373504736904962
9,0,0,0,0,0,0,0,0,0,-0.10060554714168818,-0.19140884322175564
10,0,0,0,0,0,0,0,0,0,-0.09243176450974336,-0.1891826779511145
11,0,0,0,0,0,0,0,1,0,-0.059752500660435665,-0.21633832438046266
12,0,0,0,0,0,0,0,1,0,-0.06713285405758627,-0.20453350025682565
13,0,0,0,0,0,0,0,1,0,-0.09453089762093062,-0.1845332696654001
14,0,0,0,0,0,0,0,0,0,-0.10695614192732861,-0.19537176580419524
15,0,0,0,0,0,0,0,1,0,-0.11035678113081596,-0.19651331754530002
16,0,0,0,0,0,0,0,1,0,-0.09437660679931906,-0.19024653305409875
17,0,0,0,0,0,0,0,0,0,-0.08335561274036181,-0.2020592803800307
18,0,0,0,0,0,0,0,1,0,-0.10294221550085292,-0.20503026565941251
19,0,0,0,0,0,0,0,0,0,-0.10137541464676987,-0.21721241249408774
20,0,0,0,0,0,0,0,0,0,-0.08152862902773597,-0.20867897451573403
21,0,0,0,0,0,0,0,1,0,-0.06998645035798151,-0.19237481436300044
22,0,0,0,0,0,0,0,0,0,-0.06394539221333909,-0.1962627626214128
23,0,0,0,0,0,0,0,0,0,-0.05813746440215163,-0.19655736068441343
24,0,0,0,0,0,0,0,1,0,-0.04862391673285814,-0.19085409377677076
25,0,0,0,0,0,0,0,1,0,-0.07783596605096188,-0.18206013579037975
