frames_ids,AU1,AU2,AU4,AU6,AU12,AU15,AU20,AU25,EXPR,valence,arousal
1,0,0,0,0,0,0,0,0,0,-0.14626984838641402,-0.04570169798343592
2,0,0,0,0,0,0,0,1,0,-0.18750396397234387,-0.06308374982817397
3,0,1,0,0,0,0,0,1,0,-0.16143907644589875,-0.09134377595527396
4,0,0,0,0,0,0,0,0,0,-0.11699472852418888,-0.10035189920056026
5,0,1,0,0,0,0,0,0,0,-0.1150277065186713,-0.035786955899215885
6,0,0,0,0,0,0,0,0,0,-0.0527279869604268,-0.12853199597693205
7,0,0,0,0,0,0,0,0,0,0.10000319416193582,-0.1270756883007524
8,0,0,0,0,0,0,0,0,0,0.1444657037010122,-0.17721236727543568
9,0,0,0,0,0,0,0,0,0,0.04148743142324837,0.019793482717910826
10,0,0,0,0,0,0,0,0,4,0.0678649535892825,0.0033990069978723017
11,0,0,0,0,0,0,0,0,0,-0.06500087630028203,-0.1753127813388251
12,0,0,0,0,0,0,0,1,0,-0.1540400123125629,0.046635616344007556
13,0,0,0,0,0,0,0,0,0,-0.1527075629473027,0.07719410194304621
14,0,0,0,0,0,0,0,0,2,-0.16724688409043384,0.021398121730032277
15,0,0,0,0,0,0,0,0,2,-0.1991362032399354,0.1265470913272829
16,0,0,0,0,0,0,0,0,0,-0.21291817681891478,0.18193735156551397
17,0,0,0,0,0,0,0,0,2,-0.35664882423895367,0.2531280204237095
18,1,0,0,0,0,0,0,0,2,-0.30258566305335416,0.13743094160025446
19,1,0,0,0,0,0,0,0,2,-0.2922590802711631,0.13338654868206692
20,1,0,0,0,0,0,0,0,2,-0.30553097018702446,0.13360560209931505
21,1,1,0,0,0,0,0,0,0,-0.1747565992960805,-0.005362313265275073
22,0,0,0,0,0,0,0,0,0,0.08223244155708109,0.13712374156488
23,0,0,0,0,0,1,0,0,0,0.08148008467335445,0.079420641726373
24,0,0,0,0,0,0,0,0,0,-0.1784989915935225,0.02344015317870987
25,1,0,0,0,0,0,0,0,0,0.05595996446515379,0.033309716792581066
26,0,1,0,0,0,0,0,0,0,0.08520971346450475,0.01808488764800127
27,1,0,0,0,0,0,0,0,0,0.09589098474795091,0.12470397908289568
28,0,1,0,0,0,0,0,0,0,0.00785568256029169,-0.12544861412607136
29,0,0,0,0,0,0,0,0,0,0.08573757609548532,0.02154945764739651
