frames_ids,AU1,AU2,AU4,AU6,AU12,AU15,AU20,AU25,EXPR,valence,arousal
1,0,0,1,0,0,0,0,0,0,-0.174570054,-0.342404919
2,0,0,0,0,0,0,0,0,0,-0.173587844,-0.337906508
3,0,0,0,0,0,0,0,0,0,-0.14053815,-0.352019934
4,0,0,0,0,0,0,0,0,0,-0.109881785,-0.334444064
5,0,0,0,0,0,0,0,0,0,-0.1270749,-0.27782772
6,0,0,0,0,0,0,0,0,0,-0.147386599,-0.238405346
7,0,1,0,0,0,0,0,0,0,-0.14753422,-0.208571237
8,0,1,0,0,0,0,0,0,0,-0.134585926,-0.217212701
9,0,0,0,0,0,0,0,0,0,-0.164052271,-0.202008992
10,0,0,1,0,0,0,0,0,0,-0.243687536,-0.392003316
11,0,0,1,0,0,0,0,0,0,-0.192466107,-0.317540025
12,0,1,0,1,1,0,0,1,4,0.350004242,0.462358749
13,0,1,0,1,1,0,0,1,4,0.270661243,0.476845153
14,0,1,0,1,1,0,0,1,4,0.273413282,0.433620004
15,0,1,0,1,1,0,0,1,4,0.162457168,0.307385743
16,0,1,1,1,1,0,0,1,4,-0.044948988,0.191074596
17,0,1,1,1,1,0,0,1,4,0.104616968,0.165591192
18,0,1,1,1,1,0,0,1,4,0.063239356,0.202999174
19,0,1,0,1,1,0,0,1,4,-0.055070262,0.250434119
20,0,1,0,1,1,0,0,1,4,0.059345607,0.146822521
21,0,1,1,1,1,0,0,1,4,-0.012513098,0.115196721
22,0,1,1,1,1,0,0,1,4,-0.166289121,0.013755666
23,0,1,1,0,0,0,0,1,4,-0.230182339,-0.010419018
24,0,1,1,0,0,0,0,0,4,-0.248928501,0.101056735
25,0,1,1,0,0,0,0,0,4,-0.400785879,0.090974289
26,0,1,1,0,0,0,0,0,4,-0.516023863,-0.049006446
27,0,1,1,0,0,0,0,0,4,-0.367095285,-0.102467296
28,0,0,1,0,0,0,0,0,5,-0.483359435,-0.182082704
29,0,0,1,0,0,0,0,0,4,-0.643557406,-0.226656365
30,0,1,1,0,0,0,0,0,1,-0.625451607,-0.235321069
31,0,1,1,0,0,0,0,0,5,-0.666682708,-0.02648608
32,0,1,1,0,0,0,0,0,5,-0.271309697,0.082644958
33,1,1,1,0,0,0,0,0,4,-0.212266235,-0.037887002
34,0,1,1,0,0,0,0,1,4,-0.214311957,-0.125042935
35,0,1,1,0,0,0,0,1,4,-0.156426707,-0.120179693
36,0,1,0,0,0,0,0,0,0,-0.135279253,-0.113125661
37,0,1,1,0,0,0,0,0,0,-0.191514289,-0.201651061
38,0,1,1,0,0,0,0,0,0,-0.178180573,-0.238847075
39,0,1,1,0,0,0,0,0,0,-0.269302111,-0.216498635
40,0,1,1,0,0,0,0,0,0,-0.259880436,-0.189008843
41,0,1,1,0,0,0,0,0,0,-0.239414927,-0.198559116
42,0,1,1,0,0,0,0,0,0,-0.183456023,-0.272057871
43,0,1,1,0,0,0,0,0,0,-0.159656931,-0.26359908
44,0,1,1,0,0,0,0,0,0,-0.170738648,-0.254790337
45,0,1,1,0,0,0,0,0,0,-0.204319869,-0.35451028
46,0,1,1,0,0,0,0,0,0,-0.130371409,-0.334011185
